Dystans (m),Wysokość (m)
2786.45437686076,512.235595703125
2793.88492186572,512.27197265625
2801.31546687068,512.304809570313
2808.74601187565,512.335998535156
2816.17655688061,512.376159667969
2823.60710188557,512.432678222656
2831.03764689053,512.492248535156
2838.4681918955,512.616333007813
2845.89873690046,512.739929199219
2853.32928190542,512.916625976563
2860.75982691038,513.114562988281
2868.19037191534,513.323669433594
2875.6209169203,513.552185058594
2883.05146192527,513.784057617188
2890.48200693023,514.0908203125
2897.91255193519,514.39599609375
2905.34309694015,514.789123535156
2912.77364194512,515.214233398438
2920.20418695008,515.713439941406
2927.63473195504,516.327819824219
2935.06527696,516.953125
2942.49582196496,517.777709960938
2949.92636696993,518.600524902344
2957.35691197489,519.320068359375
2964.78745697985,520.0146484375
2972.21800198481,520.182189941406
2979.64854698977,519.592590332031
2987.07909199474,518.976013183594
2994.5096369997,517.798767089844
3001.94018200466,516.621276855469
3009.37072700962,515.651611328125
3016.80127201458,514.740051269531
3024.23181701955,514.018920898438
3031.66236202451,513.559814453125
3039.09290702947,513.122131347656
3046.52345203443,512.960144042969
3053.95399703939,512.794738769531
3061.38454204436,512.710205078125
3068.81508704932,512.649291992188
3076.24563205428,512.618713378906
3083.67617705924,512.627563476562
3091.1067220642,512.641296386719
3098.53726706917,512.693786621094
3105.96781207413,512.746398925781
3113.39835707909,512.868896484375
3120.82890208405,513.012023925781
3128.25944708901,513.203369140625
3135.68999209398,513.451477050781
3143.12053709894,513.717041015625
3150.5510821039,514.091003417969
3157.98162710886,514.467346191406
3165.41217211382,514.95751953125
3172.84271711879,515.479431152344
3180.27326212375,516.084777832031
3187.70380712871,516.784057617187
3195.13435213367,517.512023925781
3202.56489713863,518.374389648438
3209.9954421436,519.241027832031
3217.42598714856,519.922668457031
3224.85653215352,520.543029785156
3232.28707715848,520.425720214844
3239.71762216344,519.537963867188
3247.14816716841,518.627136230469
3254.57871217337,517.715209960938
3262.00925717833,516.808898925781
3269.43980218329,516.229125976563
3276.87034718825,515.72216796875
3284.30089219322,515.382019042969
3291.73143719818,515.202270507813
3299.16198220314,515.056030273438
3306.5925272081,515.046508789063
3314.02307221306,515.039855957031
3321.45361721803,515.131469726563
3328.88416222299,515.2421875
3336.31470722795,515.409362792969
3343.74525223291,515.626586914063
3351.17579723788,515.8974609375
3358.60634224284,516.389343261719
3366.0368872478,516.876159667969
3373.46743225276,516.527099609375
3380.89797725772,516.048156738281
3388.32852226269,515.370422363281
3395.75906726765,514.525512695313
3403.18961227261,513.727661132813
3410.62015727757,513.092590332031
3418.05070228253,512.460754394531
3425.4812472875,512.07666015625
3432.91179229246,511.725158691406
3440.34233729742,511.425048828125
3447.77288230238,511.166107177734
3455.20342730734,510.925445556641
3462.63397231231,510.749664306641
3470.06451731727,510.572692871094
3477.49506232223,510.469573974609
3484.92560732719,510.374420166016
3492.35615233215,510.319030761719
3499.78669733712,510.293670654297
3507.21724234208,510.269653320313
3514.64778734704,510.251434326172
3522.078332352,510.232727050781
3529.50887735696,510.224517822266
3536.93942236193,510.217529296875
3544.36996736689,510.229644775391
3551.80051237185,510.254913330078
3559.23105737681,510.286895751953
3566.66160238177,510.338684082031
3574.09214738674,510.389617919922
3581.5226923917,510.445220947266
3588.95323739666,510.501647949219
3596.38378240162,510.590179443359
3603.81432740658,510.699554443359
3611.24487241155,510.828521728516
3618.67541741651,511.010284423828
3626.10596242147,511.192016601563
3633.53650742643,511.47802734375
3640.96705243139,511.771423339844
3648.39759743636,512.140319824219
3655.82814244132,512.558349609375
3663.25868744628,513.052062988281
3670.68923245124,513.728393554688
3678.1197774562,514.41064453125
3685.55032246117,514.919982910156
3692.98086746613,515.424926757813
3700.41141247109,515.3720703125
3707.84195747605,514.992065429688
3715.27250248101,514.347045898438
3722.70304748598,513.103454589844
3730.13359249094,511.858947753906
3737.5641374959,511.254455566406
3744.99468250086,510.656677246094
3752.42522750582,510.31884765625
3759.85577251079,510.124694824219
3767.28631751575,509.973419189453
3774.71686252071,509.91357421875
3782.14740752567,509.854034423828
3789.57795253063,509.849761962891
3797.0084975356,509.845367431641
